customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8813-ADFPT,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.12,1946.75,No
1245-GGAGV,Female,0,Yes,No,14,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,82.34,1152.6,No
8248-ABFFH,Female,0,No,Yes,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),96.38,2885.72,No
4655-KMSZR,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,75.73,3560.64,No
3476-DJOKN,Male,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.08,1501.53,Yes
9864-MEAOF,Female,0,No,No,16,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,60.43,971.98,Yes
8734-AUEHD,Male,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),91.5,1546.36,No
3798-FJBPL,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,92.59,4374.66,No
2845-GHVVK,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.77,2452.37,No
8484-HUYPC,Male,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,104.58,2171.0,No
3953-DDRZR,Female,0,No,No,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.06,565.54,No
7318-AXGXW,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,96.16,1541.45,No
5272-UZQFV,Female,0,Yes,Yes,30,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,47.41,1415.37,No
6994-LDHPS,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),114.65,1648.51,Yes
5190-YIRGM,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,109.69,1207.4,Yes
5301-VBCWJ,Female,0,No,No,18,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),77.55,1390.67,Yes
9097-WDMIM,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),120.0,6506.73,No
3499-BWPDK,Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.14,2683.4,No
4005-RNNBS,Female,1,Yes,No,40,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),90.04,3606.42,No
3165-LRXXX,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,107.76,682.14,Yes
9422-RZSEQ,Female,1,No,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.94,6054.29,No
9239-WPQXM,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,102.7,3208.96,No
4358-MFTIL,Male,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),101.55,3038.14,Yes
5491-LCRVT,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,80.21,2764.44,No
9726-ZFMZY,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,92.89,6682.95,No
2276-KQQGS,Female,1,Yes,No,65,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.09,4824.01,Yes
4145-OLLQN,Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,104.89,5709.9,No
6051-AYSWO,Female,1,No,No,33,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,80.82,2644.57,No
9925-TEYNK,Female,1,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.01,2689.78,No
6894-CRIZQ,Male,0,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,103.41,1459.94,Yes
4650-KKXPH,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,94.01,4425.2,No
4354-LRTDJ,Male,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,79.92,478.76,No
9550-ZKGDF,Male,0,Yes,No,10,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),97.73,989.63,Yes
4031-KXJSA,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.44,987.42,No
7312-KSKGR,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),91.19,1548.34,Yes
3039-GVYYQ,Male,1,No,No,36,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),71.26,2555.88,No
2944-UKVYI,Female,0,No,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),82.48,5953.91,No
4606-BLCHZ,Female,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,109.62,7770.07,No
7282-NOJIQ,Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,87.78,5423.62,No
4785-MRZMH,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,109.36,2879.33,No
8455-QTVOI,Male,1,Yes,No,44,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,73.35,3206.36,No
3090-UYVSU,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),103.85,1257.93,No
9338-LOHMO,Female,1,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,112.48,2234.98,Yes
2559-SNXTG,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),42.7,1066.7,No
2287-ETLSG,Male,1,No,Yes,30,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,84.22,2543.58,No
4993-WDFFK,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),102.87,3807.36,No
5217-GWYWY,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),87.16,1646.42,No
9894-LDFTK,Female,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,291.28,No
9761-QSGOM,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),37.87,198.88,No
5300-ONLGK,Female,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),106.39,3629.51,No
9231-DZRMV,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,91.82,5167.98,No
9866-UFIZE,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,114.79,801.33,No
6928-PKQUO,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.03,103.95,No
7922-OGFGD,Male,0,No,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),105.82,4685.04,No
2838-TBNZQ,Male,0,No,Yes,19,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,78.74,1457.71,No
7842-RJFVK,Male,0,No,No,54,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),76.02,4108.0,No
